channel_id,user_id,ts,thread_ts,text,url,image_name,image_url
C05U9D2T2NP,U05RZKPRMBN,1698215512.1988479,,test,,,
C05U9D2T2NP,U05RX3M7P27,1698215523.199199,,aiueo,,,
C05U9D2T2NP,U05RZKPRMBN,1698215534.199199,,kakikuke,,,
C05U9D2T2NP,U05RZKPRMBN,1698215556.199199,,test,,,
C05U9D2T2NP,U05RZKPRMBN,1698215578.199199,,akasatana,,,
C05U9D2T2NP,U05RZKPRMBN,1698216723.199199,,eeeeee,,,
C05U9D2T2NP,U05RX3M7P27,1698216823.199199,,今日の,,,
C05U9D2T2NP,U05RX3M7P27,1698216824.199199,,天気は,,,
C05U9D2T2NP,U05RX3M7P27,1698216828.199199,,はれです,,,
C05U9D2T2NP,U05RZKPRMBN,1698218923.199199,,あいうえお,,,
C05U9D2T2NP,U05RZKPRMBN,1698218948.199199,,最近忙しい,,,
C05U9D2T2NP,U05RZKPRMBN,1698219999.199199,,testtest,,,
